# name, smd?, value, package, component, x, y, angle, YXAngle
BOARD1, PTH, BOARD100X100-NOHOLES, BOARD-SEEED10X10-NOHOLES, board100x100-noholes-board-seeed10x10-noholes, 0.00, 0.00, 0.00, 90.00
LED1, SMD, R, 0603-LED, r-0603-led, 19.05, 38.10, 180.00, -90.00
LED2, SMD, Y, 0603-LED, y-0603-led, 19.05, 40.64, 180.00, -90.00
LED3, SMD, G, 0603-LED, g-0603-led, 19.05, 43.18, 180.00, -90.00
LED4, SMD, R, 0603-LED, r-0603-led, 18.92, 21.97, 180.00, -90.00
LED5, SMD, Y, 0603-LED, y-0603-led, 18.92, 24.51, 180.00, -90.00
LED6, SMD, G, 0603-LED, g-0603-led, 18.92, 27.05, 180.00, -90.00
LED7, SMD, R, 0603-LED, r-0603-led, 31.75, 38.10, 180.00, -90.00
LED8, SMD, Y, 0603-LED, y-0603-led, 31.75, 40.64, 180.00, -90.00
LED9, SMD, G, 0603-LED, g-0603-led, 31.75, 43.18, 180.00, -90.00
LED10, SMD, R, 0603-LED, r-0603-led, 31.62, 21.97, 180.00, -90.00
LED11, SMD, Y, 0603-LED, y-0603-led, 31.62, 24.51, 180.00, -90.00
LED12, SMD, G, 0603-LED, g-0603-led, 31.62, 27.05, 180.00, -90.00
LED13, SMD, R, 0603-LED, r-0603-led, 44.45, 38.10, 180.00, -90.00
LED14, SMD, Y, 0603-LED, y-0603-led, 44.45, 40.64, 180.00, -90.00
LED15, SMD, G, 0603-LED, g-0603-led, 44.45, 43.18, 180.00, -90.00
LED16, SMD, R, 0603-LED, r-0603-led, 44.32, 21.97, 180.00, -90.00
LED17, SMD, Y, 0603-LED, y-0603-led, 44.32, 24.51, 180.00, -90.00
LED18, SMD, G, 0603-LED, g-0603-led, 44.32, 27.05, 180.00, -90.00
LED19, SMD, R, 0603-LED, r-0603-led, 57.15, 38.10, 180.00, -90.00
LED20, SMD, Y, 0603-LED, y-0603-led, 57.15, 40.64, 180.00, -90.00
LED21, SMD, G, 0603-LED, g-0603-led, 57.15, 43.18, 180.00, -90.00
LED22, SMD, R, 0603-LED, r-0603-led, 57.02, 21.97, 180.00, -90.00
LED23, SMD, Y, 0603-LED, y-0603-led, 57.02, 24.51, 180.00, -90.00
LED24, SMD, G, 0603-LED, g-0603-led, 57.02, 27.05, 180.00, -90.00
LED25, SMD, R, 0603-LED, r-0603-led, 69.85, 38.10, 180.00, -90.00
LED26, SMD, Y, 0603-LED, y-0603-led, 69.85, 40.64, 180.00, -90.00
LED27, SMD, G, 0603-LED, g-0603-led, 69.85, 43.18, 180.00, -90.00
LED28, SMD, R, 0603-LED, r-0603-led, 69.72, 21.97, 180.00, -90.00
LED29, SMD, Y, 0603-LED, y-0603-led, 69.72, 24.51, 180.00, -90.00
LED30, SMD, G, 0603-LED, g-0603-led, 69.72, 27.05, 180.00, -90.00
LED31, SMD, R, 0603-LED, r-0603-led, 82.55, 38.10, 180.00, -90.00
LED32, SMD, Y, 0603-LED, y-0603-led, 82.55, 40.64, 180.00, -90.00
LED33, SMD, G, 0603-LED, g-0603-led, 82.55, 43.18, 180.00, -90.00
LED34, SMD, R, 0603-LED, r-0603-led, 82.42, 21.97, 180.00, -90.00
LED35, SMD, Y, 0603-LED, y-0603-led, 82.42, 24.51, 180.00, -90.00
LED36, SMD, G, 0603-LED, g-0603-led, 82.42, 27.05, 180.00, -90.00
LED37, SMD, R, 0603-LED, r-0603-led, 19.05, 61.47, 0.00, 90.00
LED38, SMD, Y, 0603-LED, y-0603-led, 19.05, 58.93, 0.00, 90.00
LED39, SMD, G, 0603-LED, g-0603-led, 19.05, 56.39, 0.00, 90.00
LED40, SMD, R, 0603-LED, r-0603-led, 19.18, 77.60, 0.00, 90.00
LED41, SMD, Y, 0603-LED, y-0603-led, 19.18, 75.06, 0.00, 90.00
LED42, SMD, G, 0603-LED, g-0603-led, 19.18, 72.52, 0.00, 90.00
LED43, SMD, R, 0603-LED, r-0603-led, 31.75, 61.47, 0.00, 90.00
LED44, SMD, Y, 0603-LED, y-0603-led, 31.75, 58.93, 0.00, 90.00
LED45, SMD, G, 0603-LED, g-0603-led, 31.75, 56.39, 0.00, 90.00
LED46, SMD, R, 0603-LED, r-0603-led, 31.88, 77.60, 0.00, 90.00
LED47, SMD, Y, 0603-LED, y-0603-led, 31.88, 75.06, 0.00, 90.00
LED48, SMD, G, 0603-LED, g-0603-led, 31.88, 72.52, 0.00, 90.00
LED49, SMD, R, 0603-LED, r-0603-led, 44.45, 61.47, 0.00, 90.00
LED50, SMD, Y, 0603-LED, y-0603-led, 44.45, 58.93, 0.00, 90.00
LED51, SMD, G, 0603-LED, g-0603-led, 44.45, 56.39, 0.00, 90.00
LED52, SMD, R, 0603-LED, r-0603-led, 44.58, 77.60, 0.00, 90.00
LED53, SMD, Y, 0603-LED, y-0603-led, 44.58, 75.06, 0.00, 90.00
LED54, SMD, G, 0603-LED, g-0603-led, 44.58, 72.52, 0.00, 90.00
LED55, SMD, R, 0603-LED, r-0603-led, 57.15, 61.47, 0.00, 90.00
LED56, SMD, Y, 0603-LED, y-0603-led, 57.15, 58.93, 0.00, 90.00
LED57, SMD, G, 0603-LED, g-0603-led, 57.15, 56.39, 0.00, 90.00
LED58, SMD, R, 0603-LED, r-0603-led, 57.28, 77.60, 0.00, 90.00
LED59, SMD, Y, 0603-LED, y-0603-led, 57.28, 75.06, 0.00, 90.00
LED60, SMD, G, 0603-LED, g-0603-led, 57.28, 72.52, 0.00, 90.00
LED61, SMD, R, 0603-LED, r-0603-led, 69.85, 61.47, 0.00, 90.00
LED62, SMD, Y, 0603-LED, y-0603-led, 69.85, 58.93, 0.00, 90.00
LED63, SMD, G, 0603-LED, g-0603-led, 69.85, 56.39, 0.00, 90.00
LED64, SMD, R, 0603-LED, r-0603-led, 69.98, 77.60, 0.00, 90.00
LED65, SMD, Y, 0603-LED, y-0603-led, 69.98, 75.06, 0.00, 90.00
LED66, SMD, G, 0603-LED, g-0603-led, 69.98, 72.52, 0.00, 90.00
LED67, SMD, R, 0603-LED, r-0603-led, 82.55, 61.47, 0.00, 90.00
LED68, SMD, Y, 0603-LED, y-0603-led, 82.55, 58.93, 0.00, 90.00
LED69, SMD, G, 0603-LED, g-0603-led, 82.55, 56.39, 0.00, 90.00
LED70, SMD, R, 0603-LED, r-0603-led, 82.68, 77.60, 0.00, 90.00
LED71, SMD, Y, 0603-LED, y-0603-led, 82.68, 75.06, 0.00, 90.00
LED72, SMD, G, 0603-LED, g-0603-led, 82.68, 72.52, 0.00, 90.00
LOWER, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 180.00, -90.00
LOWER1, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 180.00, -90.00
LOWER2, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 180.00, -90.00
LOWER3, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 180.00, -90.00
LOWER4, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 180.00, -90.00
LOWER5, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 180.00, -90.00
LOWER6, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 0.00, 90.00
LOWER7, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 0.00, 90.00
LOWER8, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 0.00, 90.00
LOWER9, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 0.00, 90.00
LOWER10, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 0.00, 90.00
LOWER11, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 0.00, 90.00
UPPER, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 180.00, -90.00
UPPER1, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 180.00, -90.00
UPPER2, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 180.00, -90.00
UPPER3, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 180.00, -90.00
UPPER4, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 180.00, -90.00
UPPER5, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 180.00, -90.00
UPPER6, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 0.00, 90.00
UPPER7, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 0.00, 90.00
UPPER8, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 0.00, 90.00
UPPER9, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 0.00, 90.00
UPPER10, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 0.00, 90.00
UPPER11, PTH, 1x4 0.100, 1X04_LOCK, 1x4 0.100-1x04_lock, 0.00, 0.00, 0.00, 90.00
